1,ГУВД Минского горисполкома
2,УВД Брестского облисполкома
3,УВД Витебского облисполкома
4,УВД Гомельского облисполкома
5,УВД Гродненского облисполкома
6,УВД Минского облисполкома
7,УВД Могилевского облисполкома
8,Департамент исполнения наказаний МВД
9,Департамент охраны МВД
